Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,36,0,0.05,0.4,0.0345734
2,Intensity 2,36,0,0.1,0.4,0.0111489
3,Intensity 3,36,0,0.15,0.4,0.00543893
4,Intensity 4,36,0,0.2,0.4,0.0031793
5,Intensity 5,36,0,0.25,0.4,0.00206108
6,Intensity 6,36,0,0.3,0.4,0.0014297
7,Intensity 7,36,0,0.35,0.4,0.00104049
8,Intensity 8,36,0,0.4,0.4,0.000784946
9,Intensity 9,35,0,0.45,0.4,0.000608986
10,Intensity 10,36,0,0.5,0.4,0.000483218
11,Intensity 11,36,0,0.7,0.4,0.000224384
12,Intensity 12,36,0,0.9,0.4,0.000122791
13,Intensity 13,36,0,1.3,0.4,4.83373e-05
14,Intensity 14,36,0,1.8,0.4,2.00663e-05
15,Intensity 15,35,0,2.6,0.4,6.94532e-06

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11,EQ12,EQ13,EQ14,EQ15,EQ16,EQ17,EQ18,EQ19,EQ20,EQ21,EQ22,EQ23,EQ24,EQ25,EQ26,EQ27,EQ28,EQ29,EQ30,EQ31,EQ32,EQ33,EQ34,EQ35,EQ36
1,Acceleration,6,1,0.065,0.0596,0.0564,0.0611,0.0775,0.0913,0.0585,0.0638,0.0788,0.0621,0.0949,0.0668,0.0587,0.0618,0.0472,0.0664,0.0453,0.0557,0.0785,0.0865,0.0737,0.0454,0.056,0.0812,0.072,0.0408,0.0595,0.0766,0.0964,0.0816,0.0766,0.0543,0.0442,0.0768,0.063,0.045
1,Acceleration,6,2,0.0606,0.0915,0.0515,0.0929,0.1004,0.0801,0.04,0.0779,0.0957,0.0788,0.0823,0.0767,0.0532,0.0803,0.0496,0.0626,0.0509,0.1127,0.0618,0.0666,0.04,0.0527,0.065,0.0958,0.0857,0.1045,0.0795,0.052,0.0704,0.0724,0.0663,0.047,0.0624,0.0509,0.101,0.0902
1,Acceleration,7,1,0.0991,0.1052,0.0649,0.098,0.1255,0.1855,0.1008,0.1262,0.1407,0.1173,0.1694,0.1149,0.0783,0.0831,0.0828,0.116,0.0867,0.0836,0.1353,0.1281,0.1171,0.1092,0.1027,0.1569,0.1178,0.0688,0.0952,0.1265,0.1727,0.1245,0.1088,0.083,0.0542,0.1175,0.115,0.0697
1,Acceleration,7,2,0.0976,0.1273,0.0558,0.1485,0.1519,0.1121,0.0639,0.1088,0.1161,0.1225,0.1041,0.106,0.0839,0.111,0.0785,0.0948,0.1192,0.1652,0.0935,0.0996,0.0669,0.0732,0.0979,0.1443,0.1376,0.1424,0.1237,0.0873,0.1095,0.0876,0.1013,0.0736,0.0735,0.0926,0.1726,0.1209
1,Acceleration,8,1,0.0771,0.0614,0.0687,0.044,0.0629,0.0748,0.0521,0.0479,0.0741,0.0564,0.0636,0.056,0.0818,0.0713,0.0621,0.0384,0.0829,0.0499,0.0601,0.0637,0.0528,0.0689,0.0746,0.0521,0.0794,0.0575,0.0485,0.0426,0.0707,0.04,0.067,0.0484,0.0421,0.0391,0.0445,0.0417
1,Acceleration,8,2,0.0434,0.0476,0.0519,0.0429,0.0936,0.0477,0.0327,0.048,0.0382,0.0417,0.0566,0.0602,0.0485,0.0633,0.0437,0.0377,0.0487,0.0334,0.059,0.0338,0.0323,0.0201,0.0491,0.0648,0.0596,0.0776,0.0445,0.0518,0.0316,0.0384,0.0547,0.0484,0.0508,0.0479,0.0562,0.0429
1,Acceleration,9,1,0.0432,0.052,0.0629,0.0413,0.0513,0.0792,0.0433,0.0371,0.0484,0.0438,0.0595,0.0509,0.0551,0.0728,0.0367,0.0475,0.0472,0.0468,0.0589,0.0448,0.0376,0.0501,0.0579,0.0446,0.0472,0.0401,0.0402,0.0449,0.0477,0.0419,0.0365,0.0484,0.0486,0.0321,0.0427,0.0355
1,Acceleration,9,2,0.0552,0.0597,0.0545,0.0582,0.1106,0.0482,0.0424,0.0581,0.0576,0.0522,0.0645,0.0698,0.0491,0.0608,0.0539,0.0596,0.0528,0.0441,0.0724,0.0465,0.0491,0.0274,0.0539,0.0721,0.0642,0.0996,0.0448,0.071,0.0387,0.0438,0.0626,0.0496,0.0518,0.0712,0.0618,0.0505
1,Acceleration,10,1,0.0427,0.0522,0.0579,0.0466,0.054,0.0843,0.0563,0.0454,0.043,0.038,0.0653,0.0501,0.0552,0.0767,0.0419,0.0527,0.0402,0.0571,0.0677,0.0386,0.0477,0.0594,0.0596,0.0495,0.058,0.0369,0.0464,0.0481,0.0604,0.0428,0.0413,0.0453,0.044,0.0425,0.05,0.0381
1,Acceleration,10,2,0.0626,0.082,0.0552,0.0715,0.1083,0.0531,0.0559,0.0708,0.0698,0.0714,0.0688,0.0788,0.0557,0.0678,0.0734,0.0629,0.0535,0.0498,0.0819,0.0635,0.0613,0.0362,0.0575,0.0896,0.0847,0.1187,0.0523,0.0868,0.0427,0.0467,0.0666,0.057,0.05,0.095,0.0769,0.049
